Fortune  Rank,Company Name,Ticker Symbol,Fortune Rank,Revenues,Revenues change,Profits,Profit Change,Assets,Market Value,Employee Count,CEO Name,CEO Title,Sector,Industry,HQ Location,Website URL,Years on Fortune List,Fortune URL
389,Adobe Systems,ADBE,443,"$7,302 ",24.70%,"$1,694.00 ",44.90%,"$14,536 ","$106,413 ","17,973",Shantanu Narayen,"Chairman, President & Chief Executive Officer",Technology,Computer Software,"San Jose, Calif.",http://www.adobe.com,2,http://fortune.com/fortune500/adobe-systems/
390,LifePoint Health,LPNT,374,"$7,263 ",-0.10%,$102.40 ,-16.00%,"$6,286 ","$1,832 ","42,000",William F. Carpenter III,Chairman & Chief Executive Officer,Health Care,Health Care: Medical Facilities,"Brentwood, Tenn.",http://www.lifepointhealth.net,4,http://fortune.com/fortune500/lifepoint-health/
391,Tractor Supply,TSCO,396,"$7,256 ",7.00%,$422.60 ,-3.30%,"$2,869 ","$7,807 ","21,000",Gregory A. Sandfort,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Other,"Brentwood, Tenn.",http://www.tractorsupply.com,5,http://fortune.com/fortune500/tractor-supply/
392,Thor Industries,THO,540,"$7,247 ",58.20%,$374.30 ,45.90%,"$2,558 ","$6,069 ","17,800",Robert W. Martin,"President, Chief Executive Officer & Director",Motor Vehicles & Parts,Motor Vehicles and Parts,"Elkhart, Ind.",http://www.thorindustries.com,1,http://fortune.com/fortune500/thor-industries/
393,Dana,DAN,447,"$7,209 ",23.70%,$111.00 ,-82.70%,"$5,644 ","$3,741 ","30,100",James K. Kamsickas,"President, Chief Executive Officer & Director",Motor Vehicles & Parts,Motor Vehicles and Parts,"Maumee, Ohio",http://www.dana.com,24,http://fortune.com/fortune500/dana/
394,Weyerhaeuser,WY,341,"$7,196 ",-8.90%,$582.00 ,-43.30%,"$18,059 ","$26,463 ","9,300",Doyle R. Simons,"President, Chief Executive Officer & Director",Materials,Forest and Paper Products,Seattle,http://www.weyerhaeuser.com,24,http://fortune.com/fortune500/weyerhaeuser/
395,J.B. Hunt Transport Services,JBHT,407,"$7,190 ",9.70%,$686.30 ,58.80%,"$4,465 ","$12,858 ","24,681",John N. Roberts III,"President, Chief Executive Officer & Director",Transportation,"Trucking, Truck Leasing","Lowell, Ark.",http://www.jbhunt.com,6,http://fortune.com/fortune500/j-b-hunt-transport-services/
396,Darden Restaurants,DRI,385,"$7,170 ",3.40%,$479.10 ,27.80%,"$5,504 ","$10,531 ","178,729",Eugene I. Lee Jr.,"President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure",Food Services,Orlando,http://www.darden.com,22,http://fortune.com/fortune500/darden-restaurants/
397,Yum China Holdings,YUMC,399,"$7,144 ",5.80%,$403.00 ,-19.70%,"$4,263 ","$16,009 ","450,000",Joey Wat,Chairman & Chief Executive Officer,"Hotels, Restaurants & Leisure",Food Services,"Plano, Texas",http://ir.yumchina.com,2,http://fortune.com/fortune500/yum-china-holdings/
398,Blackstone Group,BX,503,"$7,119 ",38.90%,"$1,470.80 ",41.50%,"$34,429 ","$21,058 ","2,360",Stephen A. Schwarzman,Chairman & Chief Executive Officer,Financials,Diversified Financials,New York City,http://www.blackstone.com,3,http://fortune.com/fortune500/blackstone-group/
399,Berry Global Group,BERY,413,"$7,095 ",9.30%,$340.00 ,44.10%,"$8,476 ","$7,191 ","23,000",Thomas E. Salmon,Chairman & Chief Executive Officer,Materials,"Packaging, Containers","Evansville, Ind.",http://www.berryglobal.com,2,http://fortune.com/fortune500/berry-global-group/
400,Builders FirstSource,BLDR,421,"$7,034 ",10.50%,$38.80 ,-73.10%,"$3,006 ","$2,264 ","15,000",M. Chad Crow,"President, Chief Executive Officer & Director",Materials,"Building Materials, Glass",Dallas,http://www.bldr.com,2,http://fortune.com/fortune500/builders-firstsource/
401,Activision Blizzard,ATVI,406,"$7,017 ",6.20%,$273.00 ,-71.70%,"$18,668 ","$51,177 ","9,800",Robert A. Kotick,Chairman & Chief Executive Officer,Technology,Entertainment,"Santa Monica, Calif.",http://www.activisionblizzard.com,2,http://fortune.com/fortune500/activision-blizzard/
402,JetBlue Airways,JBLU,403,"$7,015 ",5.80%,"$1,147.00 ",51.10%,"$9,781 ","$6,540 ","17,424",Robin Hayes,"President, Chief Executive Officer & Director",Transportation,Airlines,"Long Island City, N.Y.",http://www.jetblue.com,6,http://fortune.com/fortune500/jetblue-airways/
403,Amphenol,APH,424,"$7,011 ",11.50%,$650.50 ,-21.00%,"$10,004 ","$26,311 ","70,000",R. Adam Norwitt,"President, Chief Executive Officer & Director",Technology,Network and Other Communications Equipment,"Wallingford, Conn.",http://www.amphenol.com,4,http://fortune.com/fortune500/amphenol/
404,A-Mark Precious Metals,AMRK,395,"$6,990 ",3.00%,$7.10 ,-23.60%,$479 ,$86 ,126,Gregory N. Roberts,Chairman & Chief Executive Officer,Materials,Miscellaneous,"El Segundo, Calif.",http://www.amark.com,4,http://fortune.com/fortune500/a-mark-precious-metals/
405,Spirit AeroSystems Holdings,SPR,393,"$6,983 ",2.80%,$354.90 ,-24.40%,"$5,268 ","$9,595 ","15,500",Thomas C. Gentile III,"President, Chief Executive Officer & Director",Aerospace & Defense,Aerospace and Defense,"Wichita, Kans.",http://www.spiritaero.com,4,http://fortune.com/fortune500/spirit-aerosystems-holdings/
406,R.R. Donnelley & Sons,RRD,388,"$6,940 ",0.60%,($34.40),,"$3,905 ",$612 ,"42,700",Daniel L. Knotts,"President, Chief Executive Officer & Director",Media,"Publishing, Printing",Chicago,http://www.rrdonnelley.com,24,http://fortune.com/fortune500/r-r-donnelley-sons/
407,Harris,HRS,363,"$6,939 ",-7.80%,$553.00 ,70.70%,"$10,090 ","$19,149 ","17,000",William M. Brown,"Chairman, President & Chief Executive Officer",Aerospace & Defense,Aerospace and Defense,"Melbourne, Fla.",http://www.harris.com,14,http://fortune.com/fortune500/harris/
408,Expeditors Intl. of Washington,EXPD,429,"$6,921 ",13.50%,$489.30 ,13.60%,"$3,117 ","$11,087 ","16,500",Jeffrey S. Musser,"President, Chief Executive Officer & Director",Transportation,Transportation and Logistics,Seattle,http://www.expeditors.com,11,http://fortune.com/fortune500/expeditors-intl-of-washington/
409,Discovery,DISCA,412,"$6,873 ",5.80%,($337.00),-128.20%,"$22,555 ","$11,156 ","7,000",David M. Zaslav,"President, Chief Executive Officer & Director",Media,Entertainment,"Silver Spring, Md.",http://www.discovery.com,5,http://fortune.com/fortune500/discovery/
410,Owens-Illinois,OI,401,"$6,869 ",2.50%,$180.00 ,-13.90%,"$9,756 ","$3,538 ","26,500",Andres A. Lopez,"President, Chief Executive Officer & Director",Materials,"Packaging, Containers","Perrysburg, Ohio",http://www.o-i.com,24,http://fortune.com/fortune500/owens-illinois/
411,Sanmina,SANM,414,"$6,869 ",6.00%,$138.80 ,-26.10%,"$3,847 ","$1,863 ","41,250",Robert K. Eulau,Chairman & Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,"San Jose, Calif.",http://www.sanmina.com,18,http://fortune.com/fortune500/sanmina/
412,KeyCorp,KEY,479,"$6,868 ",26.70%,"$1,296.00 ",63.80%,"$137,698 ","$20,570 ","18,415",Beth E. Mooney,"Chairman, President & Chief Executive Officer",Financials,Commercial Banks,Cleveland,http://www.key.com,20,http://fortune.com/fortune500/keycorp/
413,American Financial Group,AFG,411,"$6,865 ",5.60%,$475.00 ,-26.80%,"$60,658 ","$9,923 ","7,600",Carl H. Lindner lll/S. Craig Lindner,"President, Co-Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),Cincinnati,http://www.afginc.com,19,http://fortune.com/fortune500/american-financial-group/
414,Oshkosh,OSK,425,"$6,830 ",8.80%,$285.60 ,32.00%,"$5,099 ","$5,768 ","14,000",Wilson R. Jones,"President, Chief Executive Officer & Director",Industrials,Construction and Farm Machinery,"Oshkosh, Wis.",http://www.oshkoshcorporation.com,11,http://fortune.com/fortune500/oshkosh/
415,Rockwell Collins,COL,492,"$6,822 ",29.70%,$705.00 ,-3.20%,"$17,997 ","$22,108 ","29,000",Robert K. Ortberg,"Chairman, President & Chief Executive Officer",Aerospace & Defense,Aerospace and Defense,"Cedar Rapids, Iowa",http://www.rockwellcollins.com,7,http://fortune.com/fortune500/rockwell-collins/
416,Kindred Healthcare,KND,376,"$6,768 ",-6.40%,($698.40),,"$5,233 ",$836 ,"64,200",Benjamin A. Breier,"President, Chief Executive Officer & Director",Health Care,Health Care: Medical Facilities,"Louisville, Ky.",http://www.kindredhealthcare.com,15,http://fortune.com/fortune500/kindred-healthcare/
417,Insight Enterprises,NSIT,473,"$6,704 ",22.20%,$90.70 ,7.10%,"$2,686 ","$1,252 ","6,697",Kenneth T. Lamneck,"President, Chief Executive Officer & Director",Technology,Information Technology Services,"Tempe, Ariz.",http://www.insight.com,10,http://fortune.com/fortune500/insight-enterprises/
418,Dr Pepper Snapple Group,DPS,416,"$6,690 ",3.90%,"$1,076.00 ",27.00%,"$10,022 ","$21,278 ","21,000",Larry D. Young,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Beverages,"Plano, Texas",http://www.drpeppersnapplegroup.com,10,http://fortune.com/fortune500/dr-pepper-snapple-group/
419,American Tower,AMT,449,"$6,664 ",15.20%,"$1,238.90 ",29.50%,"$33,214 ","$64,073 ","4,752",James D. Taiclet Jr.,"Chairman, President & Chief Executive Officer",Financials,Real estate,Boston,http://www.americantower.com,2,http://fortune.com/fortune500/american-tower/
420,Fortive,FTV,,"$6,656 ",,"$1,044.50 ",,"$10,501 ","$26,979 ","26,000",James A. Lico,"President, Chief Executive Officer & Director",Industrials,Industrial Machinery,"Everett, Wash.",http://www.fortive.com,1,http://fortune.com/fortune500/fortive/
421,Ralph Lauren,RL,371,"$6,653 ",-10.20%,($99.30),-125.10%,"$5,652 ","$9,088 ","18,250",Patrice Louvet,"President, Chief Executive Officer & Director",Apparel,Apparel,New York City,http://www.ralphlauren.com,10,http://fortune.com/fortune500/ralph-lauren/
422,HRG Group,HRG,418,"$6,650 ",3.90%,$106.00 ,,"$35,850 ","$3,328 ","17,113",Joseph S. Steinberg,Chairman & Chief Executive Officer,Household Products,Household and Personal Products,New York City,http://www.hrggroup.com,5,http://fortune.com/fortune500/hrg-group/
423,Ascena Retail Group,ASNA,384,"$6,650 ",-4.90%,"($1,067.30)",,"$3,872 ",$394 ,"40,000",David R. Jaffe,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Apparel,"Mahwah, N.J.",http://www.ascenaretail.com,2,http://fortune.com/fortune500/ascena-retail-group/
424,United Rentals,URI,452,"$6,641 ",15.30%,"$1,346.00 ",137.80%,"$15,030 ","$14,537 ","14,800",Michael J. Kneeland,Chairman & Chief Executive Officer,Business Services,Miscellaneous,"Stamford, Conn.",http://www.unitedrentals.com,5,http://fortune.com/fortune500/united-rentals/
425,Casey’s General Stores,CASY,423,"$6,641 ",5.30%,$177.50 ,-21.50%,"$3,020 ","$4,120 ","25,463",Terry W. Handley,"President, Chief Executive Officer & Director",Retailing,Specialty Retailers: Other,"Ankeny, Iowa",http://www.caseys.com,8,http://fortune.com/fortune500/caseys-general-stores/
426,Graybar Electric,,420,"$6,631 ",3.90%,$71.60 ,-23.10%,"$2,261 ",,"8,500",Kathleen M. Mazzarella,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Diversified,St. Louis,http://www.graybar.com,24,http://fortune.com/fortune500/graybar-electric/
427,Avery Dennison,AVY,430,"$6,614 ",8.70%,$281.80 ,-12.10%,"$5,137 ","$9,361 ","30,000",Mitchell R. Butier,"President, Chief Executive Officer & Director",Materials,"Packaging, Containers","Glendale, Calif.",http://www.averydennison.com,24,http://fortune.com/fortune500/avery-dennison/
428,MasTec,MTZ,502,"$6,607 ",28.70%,$347.20 ,164.50%,"$4,067 ","$3,874 ","17,300",Jose R. Mas,Chief Executive Officer,Engineering & Construction,"Engineering, Construction","Coral Gables, Fla.",http://www.mastec.com,1,http://fortune.com/fortune500/mastec/
429,CMS Energy,CMS,419,"$6,583 ",2.90%,$460.00 ,-16.50%,"$23,050 ","$12,793 ","7,887",Patricia K. Poppe,"President, Chief Executive Officer & Director",Energy,Utilities: Gas and Electric,"Jackson, Mich.",http://www.cmsenergy.com,24,http://fortune.com/fortune500/cms-energy/
430,HD Supply Holdings,HDS,364,"$6,534 ",-13.20%,$970.00 ,394.90%,"$4,318 ","$7,040 ","11,000",Joseph J. DeAngelo,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Diversified,Atlanta,http://www.hdsupply.com,6,http://fortune.com/fortune500/hd-supply-holdings/
431,Raymond James Financial,RJF,469,"$6,525 ",18.20%,$636.20 ,20.20%,"$34,884 ","$13,019 ","12,700",Paul C. Reilly,Chairman & Chief Executive Officer,Financials,Securities,"St. Petersburg, Fla.",http://www.raymondjames.com,3,http://fortune.com/fortune500/raymond-james-financial/
432,NCR,NCR,409,"$6,516 ",-0.40%,$232.00 ,-14.10%,"$7,654 ","$3,737 ","34,000",Michael D. Hayford,Chief Executive Officer & Director,Technology,"Computers, Office Equipment",Atlanta,http://www.ncr.com,21,http://fortune.com/fortune500/ncr/
433,Hanesbrands,HBI,432,"$6,478 ",6.90%,$61.90 ,-88.50%,"$6,895 ","$6,638 ","67,200",Gerald W. Evans Jr.,Chairman & Chief Executive Officer,Apparel,Apparel,"Winston-Salem, N.C.",http://www.hanes.com,4,http://fortune.com/fortune500/hanesbrands/
434,Asbury Automotive Group,ABG,410,"$6,457 ",-1.10%,$139.10 ,-16.80%,"$2,357 ","$1,412 ","8,000",David W. Hult,"President, Chief Executive Officer & Director",Retailing,"Automotive Retailing, Services","Duluth, Ga.",http://www.asburyauto.com,12,http://fortune.com/fortune500/asbury-automotive-group/
435,Citizens Financial Group,CFG,451,"$6,454 ",12.00%,"$1,652.00 ",58.10%,"$152,336 ","$20,474 ","17,594",Bruce W. Van Saun,"Chairman, President & Chief Executive Officer",Financials,Commercial Banks,"Providence, R.I.",http://www.citizensbank.com,3,http://fortune.com/fortune500/citizens-financial-group/
436,Packaging Corp. of America,PKG,450,"$6,445 ",11.50%,$668.60 ,48.70%,"$6,198 ","$10,633 ","14,600",Mark W. Kowlzan,Chairman & Chief Executive Officer,Materials,"Packaging, Containers","Lake Forest, Ill.",http://www.packagingcorp.com,4,http://fortune.com/fortune500/packaging-corp-of-america/
437,Alleghany,Y,428,"$6,425 ",4.80%,$90.10 ,-80.30%,"$25,384 ","$9,460 ","4,402",Weston M. Hicks,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),New York City,http://www.alleghany.com,4,http://fortune.com/fortune500/alleghany/
438,Apache,APA,488,"$6,423 ",20.00%,"$1,304.00 ",,"$21,922 ","$14,678 ","3,356",John J. Christmann IV,"President, Chief Executive Officer & Director",Energy,"Mining, Crude-Oil Production",Houston,http://www.apachecorp.com,15,http://fortune.com/fortune500/apache/
439,Dillard’s,DDS,417,"$6,423 ",0.10%,$221.30 ,30.80%,"$3,673 ","$2,289 ","31,400",William T. Dillard II,Chairman & Chief Executive Officer,Retailing,General Merchandisers,"Little Rock, Ark.",http://www.dillards.com,24,http://fortune.com/fortune500/dillards/
440,Assurant,AIZ,361,"$6,415 ",-14.80%,$519.60 ,-8.10%,"$31,843 ","$4,803 ","14,175",Alan B. Colberg,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),New York City,http://www.assurant.com,14,http://fortune.com/fortune500/assurant/
441,Franklin Resources,BEN,405,"$6,392 ",-3.40%,"$1,696.70 ",-1.70%,"$17,534 ","$19,133 ","9,386",Gregory E. Johnson,Chairman & Chief Executive Officer,Financials,Securities,"San Mateo, Calif.",http://www.franklinresources.com,13,http://fortune.com/fortune500/franklin-resources/
442,Owens Corning,OC,458,"$6,384 ",12.50%,$289.00 ,-26.50%,"$8,632 ","$8,982 ","17,000",Michael H. Thaman,"Chairman, President & Chief Executive Officer",Materials,"Building Materials, Glass","Toledo, Ohio",http://www.owenscorning.com,24,http://fortune.com/fortune500/owens-corning/
443,Motorola Solutions,MSI,433,"$6,380 ",5.70%,($155.00),-127.70%,"$8,208 ","$17,027 ","15,000",Gregory Q. Brown,Chairman & Chief Executive Officer,Technology,Network and Other Communications Equipment,Chicago,http://www.motorolasolutions.com,24,http://fortune.com/fortune500/motorola-solutions/
444,NVR,NVR,446,"$6,322 ",8.40%,$537.50 ,26.40%,"$2,989 ","$10,262 ","5,200",Paul C. Saville,"President, Chief Executive Officer & Director",Engineering & Construction,Homebuilders,"Reston, Va.",http://www.nvrinc.com,9,http://fortune.com/fortune500/nvr/
445,Rockwell Automation,ROK,442,"$6,311 ",7.30%,$825.70 ,13.20%,"$7,162 ","$22,260 ","22,000",Blake D. Moret,"Chairman, President & Chief Executive Officer",Industrials,"Electronics, Electrical Equip.",Milwaukee,http://www.rockwellautomation.com,24,http://fortune.com/fortune500/rockwell-automation/
446,TreeHouse Foods,THS,427,"$6,307 ",2.10%,($286.20),,"$5,779 ","$2,159 ","13,489",Steven Oakland,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Consumer Products,"Oak Brook, Ill.",http://www.treehousefoods.com,2,http://fortune.com/fortune500/treehouse-foods/
447,Wynn Resorts,WYNN,548,"$6,306 ",41.20%,$747.20 ,208.80%,"$12,682 ","$19,778 ","25,200",Matthew O. Maddox,"President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Las Vegas,http://www.wynnresorts.com,5,http://fortune.com/fortune500/wynn-resorts/
448,Olin,OLN,467,"$6,268 ",12.90%,$549.50 ,,"$9,218 ","$5,081 ","6,400",John E. Fischer,"Chairman, President & Chief Executive Officer",Chemicals,Chemicals,"Clayton, Mo.",http://www.olin.com,5,http://fortune.com/fortune500/olin/
449,American Axle & Manufacturing,AXL,593,"$6,266 ",58.70%,$337.10 ,40.00%,"$7,883 ","$1,699 ","25,000",David C. Dauch,Chairman & Chief Executive Officer,Motor Vehicles & Parts,Motor Vehicles and Parts,Detroit,http://www.aam.com,4,http://fortune.com/fortune500/american-axle-manufacturing/
450,Old Republic International,ORI,439,"$6,263 ",6.10%,$560.50 ,20.00%,"$19,404 ","$5,778 ","8,700",Aldo C. Zucaro,Chairman & Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),Chicago,http://www.oldrepublic.com,7,http://fortune.com/fortune500/old-republic-international/
451,Chemours,CC,482,"$6,183 ",14.50%,$746.00 ,10557.10%,"$7,293 ","$8,840 ","7,000",Mark P. Vergnano,"President, Chief Executive Officer & Director",Chemicals,Chemicals,"Wilmington, Del.",http://www.chemours.com,2,http://fortune.com/fortune500/chemours/
452,iHeartMedia,IHRTQ,426,"$6,178 ",-1.50%,($704.40),,"$12,257 ",$39 ,"18,700",Robert W. Pittman,Chairman & Chief Executive Officer,Media,Entertainment,San Antonio,http://www.iheartmedia.com,18,http://fortune.com/fortune500/iheartmedia/
453,Ameren,AEE,431,"$6,177 ",1.70%,$523.00 ,-19.90%,"$25,945 ","$13,740 ","8,615",Warner L. Baxter,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,St. Louis,http://www.ameren.com,21,http://fortune.com/fortune500/ameren/
454,Arthur J. Gallagher,AJG,462,"$6,160 ",10.10%,$463.10 ,11.80%,"$12,897 ","$12,512 ","26,783",J. Patrick Gallagher Jr.,"Chairman, President & Chief Executive Officer",Financials,Diversified Financials,"Rolling Meadows, Ill.",http://www.ajg.com,3,http://fortune.com/fortune500/arthur-j-gallagher/
455,Celanese,CE,484,"$6,140 ",13.90%,$843.00 ,-6.30%,"$9,538 ","$13,611 ","7,592",Mark C. Rohr,"Chairman, President & Chief Executive Officer",Chemicals,Chemicals,"Irving, Texas",http://www.celanese.com,13,http://fortune.com/fortune500/celanese/
456,Sealed Air,SEE,397,"$6,131 ",-9.60%,$814.90 ,67.50%,"$5,280 ","$7,162 ","15,000",Edward L. Doheny II,"President, Chief Executive Officer & Director",Materials,"Packaging, Containers","Charlotte, N.C.",http://www.sealedair.com,21,http://fortune.com/fortune500/sealed-air/
457,UGI,UGI,457,"$6,121 ",7.70%,$436.60 ,19.70%,"$11,582 ","$7,685 ","13,000",John L. Walsh,"President, Chief Executive Officer & Director",Energy,Energy,"King of Prussia, Pa.",http://www.ugicorp.com,14,http://fortune.com/fortune500/ugi/
458,Realogy Holdings,RLGY,448,"$6,114 ",5.20%,$431.00 ,102.30%,"$7,337 ","$3,568 ","11,800",Ryan M. Schneider,"President, Chief Executive Officer & Director",Financials,Real estate,"Madison, N.J.",http://www.realogy.com,8,http://fortune.com/fortune500/realogy-holdings/
459,Burlington Stores,BURL,463,"$6,110 ",9.30%,$384.90 ,78.30%,"$2,813 ","$9,018 ","40,000",Thomas A. Kingsbury,"Chairman, President & Chief Executive Officer",Retailing,Specialty Retailers: Apparel,"Burlington, N.J.",http://www.burlington.com,3,http://fortune.com/fortune500/burlington-stores/
460,Regions Financial,RF,436,"$6,093 ",2.10%,"$1,263.00 ",8.60%,"$124,294 ","$20,861 ","21,714",O.B. Grayson Hall Jr.,Chairman & Chief Executive Officer,Financials,Commercial Banks,"Birmingham, Ala.",http://www.regions.com,20,http://fortune.com/fortune500/regions-financial/
461,AK Steel Holding,AKS,441,"$6,081 ",3.40%,$6.20 ,,"$4,296 ","$1,428 ","9,200",Roger K. Newport,Chairman & Chief Executive Officer,Materials,Metals,"West Chester, Ohio",http://www.aksteel.com,18,http://fortune.com/fortune500/ak-steel-holding/
462,Securian Financial Group,,532,"$6,067 ",27.00%,$418.90 ,68.70%,"$51,232 ",,"5,000",Christopher M. Hilger,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (stock)","St. Paul, Minn.",http://www.securian.com,1,http://fortune.com/fortune500/securian-financial-group/
463,S&P Global,SPGI,459,"$6,063 ",7.10%,"$1,496.00 ",-29.00%,"$9,425 ","$47,643 ","20,400",Douglas L. Peterson,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,New York City,http://www.spglobal.com,24,http://fortune.com/fortune500/sp-global/
464,Markel,MKL,460,"$6,062 ",8.00%,$395.30 ,-13.30%,"$32,805 ","$16,264 ","15,600",Thomas S. Gayner/Richard R. Whitt III,Co-Chief Executive Officer & Director,Financials,Insurance: Property and Casualty (Stock),"Glen Allen, Va.",http://www.markelcorp.com,3,http://fortune.com/fortune500/markel/
465,TravelCenters of America,TA,470,"$6,052 ",9.80%,$9.30 ,,"$1,618 ",$144 ,"19,611",Andrew J. Rebholz,Chief Executive Officer & Director,Retailing,Specialty Retailers: Other,"Westlake, Ohio",http://www.ta-petro.com,11,http://fortune.com/fortune500/travelcenters-of-america/
466,Conduent,CNDT,,"$6,022 ",,$181.00 ,,"$7,548 ","$3,923 ","90,000",Ashok Vemuri,Chairman & Chief Executive Officer,Business Services,Diversified Outsourcing Services,"Florham Park, N.J.",http://www.conduent.com,1,http://fortune.com/fortune500/conduent/
467,M&T Bank Corp.,MTB,455,"$6,019 ",5.20%,"$1,408.30 ",7.10%,"$118,594 ","$27,379 ","16,354",Rene F. Jones,Chairman & Chief Executive Officer,Financials,Commercial Banks,"Buffalo, N.Y.",http://www.mtb.com,3,http://fortune.com/fortune500/mt-bank-corp/
468,Clorox,CLX,453,"$5,973 ",3.70%,$701.00 ,8.20%,"$4,573 ","$17,225 ","8,100",Benno O. Dorer,Chairman & Chief Executive Officer,Household Products,Household and Personal Products,"Oakland, Calif.",http://www.thecloroxcompany.com,19,http://fortune.com/fortune500/clorox/
469,AmTrust Financial Services,AFSI,475,"$5,959 ",9.30%,($348.90),-184.90%,"$25,219 ","$2,416 ","9,300",Barry D. Zyskind,"Chairman, President & Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),New York City,http://www.amtrustfinancial.com,2,http://fortune.com/fortune500/amtrust-financial-services/
470,KKR,KKR,656,"$5,930 ",71.40%,"$1,018.30 ",229.20%,"$45,835 ","$9,882 ","1,184",Henry R. Kravis/George R. Roberts,Co-Chairman & Co-Chief Executive Officer,Financials,Securities,New York City,http://www.kkr.com,6,http://fortune.com/fortune500/kkr/
471,Ulta Beauty,ULTA,524,"$5,885 ",21.20%,$555.20 ,35.50%,"$2,909 ","$12,459 ","24,200",Mary N. Dillon,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Other,"Bolingbrook, Ill.",http://www.ulta.com,1,http://fortune.com/fortune500/ulta-beauty/
472,Yum Brands,YUM,422,"$5,878 ",-7.70%,"$1,340.00 ",-17.20%,"$5,311 ","$28,307 ","60,000",Greg Creed,Chief Executive Officer & Director,"Hotels, Restaurants & Leisure",Food Services,"Louisville, Ky.",http://www.yum.com,20,http://fortune.com/fortune500/yum-brands/
473,Regeneron Pharmaceuticals,REGN,523,"$5,872 ",20.80%,"$1,198.50 ",33.80%,"$8,764 ","$37,087 ","6,200",Leonard S. Schleifer,"President, Chief Executive Officer & Director",Health Care,Pharmaceuticals,"Tarrytown, N.Y.",http://www.regeneron.com,1,http://fortune.com/fortune500/regeneron-pharmaceuticals/
474,Windstream Holdings,WIN,485,"$5,853 ",8.60%,"($2,116.60)",,"$11,084 ",$289 ,"12,979",Anthony W. Thomas,"President, Chief Executive Officer & Director",Telecommunications,Telecommunications,"Little Rock, Ark.",http://www.windstream.com,6,http://fortune.com/fortune500/windstream-holdings/
475,Magellan Health,MGLN,526,"$5,838 ",20.70%,$110.20 ,41.50%,"$2,957 ","$2,605 ","10,700",Barry M. Smith,Chairman & Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,"Scottsdale, Ariz.",http://www.magellanhealth.com,1,http://fortune.com/fortune500/magellan-health/
476,Western & Southern Financial,,483,"$5,836 ",8.10%,$310.40 ,28.70%,"$46,395 ",,"2,226",John F. Barrett,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (Mutual)",Cincinnati,http://www.westernsouthern.com,14,http://fortune.com/fortune500/western-southern-financial/
477,Intercontinental Exchange,ICE,437,"$5,834 ",-2.10%,"$2,514.00 ",76.80%,"$78,264 ","$42,132 ","4,952",Jeffrey C. Sprecher,Chairman & Chief Executive Officer,Financials,Securities,Atlanta,http://www.theice.com,2,http://fortune.com/fortune500/intercontinental-exchange/
478,Ingredion,INGR,456,"$5,832 ",2.30%,$519.00 ,7.00%,"$6,080 ","$9,313 ","11,000",James P. Zallie,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Production,"Westchester, Ill.",http://www.ingredion.com,7,http://fortune.com/fortune500/ingredion/
479,Wyndham Destinations,WYN,461,"$5,821 ",4.00%,$871.00 ,42.60%,"$10,403 ","$11,411 ","39,200",Michael D. Brown,Chairman & Chief Executive Officer,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Parsippany, N.J.",http://www.wyndhamdestinations.com,5,http://fortune.com/fortune500/wyndham-worldwide/
480,Toll Brothers,TOL,497,"$5,815 ",12.50%,$535.50 ,40.10%,"$9,445 ","$6,566 ","4,500",Douglas C. Yearley Jr.,Chairman & Chief Executive Officer,Engineering & Construction,Homebuilders,"Horsham, Pa.",http://www.tollbrothers.com,6,http://fortune.com/fortune500/toll-brothers/
481,Seaboard,SEB,486,"$5,809 ",8.00%,$247.00 ,-20.80%,"$5,161 ","$4,992 ","11,800",Steven J. Bresky,"Chairman, President & Chief Executive Officer","Food, Beverages & Tobacco",Food Production,"Merriam, Kans.",http://www.seaboardcorp.com,8,http://fortune.com/fortune500/seaboard/
482,Booz Allen Hamilton,BAH,481,"$5,804 ",7.40%,$252.50 ,-14.10%,"$3,373 ","$5,617 ","23,300",Horacio D. Rozanski,"President, Chief Executive Officer & Director",Technology,Information Technology Services,"McLean, Va.",http://www.boozallen.com,8,http://fortune.com/fortune500/booz-allen-hamilton/
