Fortune  Rank,Company Name,Ticker Symbol,Fortune Rank,Revenues,Revenues change,Profits,Profit Change,Assets,Market Value,Employee Count,CEO Name,CEO Title,Sector,Industry,HQ Location,Website URL,Years on Fortune List,Fortune URL
241,Jefferies Financial Group,JEF,262,"$12,408 ",14.10%,$171.70 ,32.10%,"$47,169 ","$8,098 ","12,700",Richard B. Handler,Chairman & Chief Executive Officer,Financials,Diversified Financials,New York City,http://www.jefferies.com,6,http://fortune.com/fortune500/leucadia-national/
242,VF,VFC,230,"$12,400 ",1.60%,$614.90 ,-42.80%,"$9,959 ","$29,403 ","69,000",Steven E. Rendle,"Chairman, President & Chief Executive Officer",Apparel,Apparel,"Greensboro, N.C.",http://www.vfc.com,24,http://fortune.com/fortune500/vf/
243,ADP,ADP,240,"$12,380 ",6.10%,"$1,733.40 ",16.10%,"$37,180 ","$50,302 ","58,000",Carlos A. Rodriguez,"President, Chief Executive Officer & Director",Business Services,Diversified Outsourcing Services,"Roseland, N.J.",http://www.adp.com,24,http://fortune.com/fortune500/adp/
244,Edison International,EIX,235,"$12,320 ",3.80%,$565.00 ,-56.90%,"$52,580 ","$20,741 ","12,521",Pedro J. Pizarro,"President, Chief Executive Officer & Director",Energy,Utilities: Gas and Electric,"Rosemead, Calif.",http://www.edisoninvestor.com,24,http://fortune.com/fortune500/edison-international/
245,Biogen,BIIB,248,"$12,274 ",7.20%,"$2,539.10 ",-31.40%,"$23,653 ","$57,930 ","7,300",Michel Vounatsos,Chairman & Chief Executive Officer,Health Care,Pharmaceuticals,"Cambridge, Mass.",http://www.biogen.com,9,http://fortune.com/fortune500/biogen/
246,United States Steel,X,279,"$12,250 ",19.40%,$387.00 ,,"$9,862 ","$6,200 ","29,200",David B. Burritt,"President, Chief Executive Officer & Director",Materials,Metals,Pittsburgh,http://www.ussteel.com,16,http://fortune.com/fortune500/united-states-steel/
247,Core-Mark Holding,CORE,247,"$12,225 ",6.20%,$33.50 ,-38.20%,"$1,783 ",$981 ,"8,413",Thomas B. Perkins,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Food and Grocery,"South San Francisco, Calif.",http://www.core-mark.com,9,http://fortune.com/fortune500/core-mark-holding/
248,Bed Bath & Beyond,BBBY,233,"$12,216 ",0.90%,$685.10 ,-18.60%,"$6,846 ","$2,989 ","65,000",Steven H. Temares,Chief Executive Officer & Director,Retailing,Specialty Retailers: Other,"Union, N.J.",http://www.bedbathandbeyond.com,15,http://fortune.com/fortune500/bed-bath-beyond/
249,Oneok,OKE,312,"$12,174 ",36.50%,$387.80 ,10.20%,"$16,846 ","$23,373 ","2,470",Terry K. Spencer,"President, Chief Executive Officer & Director",Energy,Pipelines,"Tulsa, Okla.",http://www.oneok.com,16,http://fortune.com/fortune500/oneok/
250,BB&T Corp.,BBT,245,"$12,156 ",5.40%,"$2,394.00 ",-1.30%,"$221,642 ","$40,454 ","36,484",Kelly S. King,Chairman & Chief Executive Officer,Financials,Commercial Banks,"Winston-Salem, N.C.",http://www.bbt.com,20,http://fortune.com/fortune500/bbt-corp/
251,Becton Dickinson,BDX,225,"$12,093 ",-3.10%,"$1,100.00 ",12.70%,"$37,734 ","$57,695 ","41,933",Vincent A. Forlenza,Chairman & Chief Executive Officer,Health Care,Medical Products and Equipment,"Franklin Lakes, N.J.",http://www.bd.com,24,http://fortune.com/fortune500/becton-dickinson/
252,Ameriprise Financial,AMP,239,"$12,075 ",2.90%,"$1,480.00 ",12.60%,"$147,470 ","$21,613 ","13,312",James M. Cracchiolo,Chairman & Chief Executive Officer,Financials,Diversified Financials,Minneapolis,http://www.ameriprise.com,12,http://fortune.com/fortune500/ameriprise-financial/
253,Farmers Insurance Exchange,,222,"$12,072 ",-3.50%,($65.40),,"$16,165 ",,"13,015",Jeffrey J. Dailey,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Mutual),"Woodland Hills, Calif.",http://www.farmers.com,4,http://fortune.com/fortune500/farmers-insurance-exchange/
